,Height above sea level,Lines,Bakerloo,,Central,,District,,Hammersmith & City,,Jubilee,,Metropolitan,,Northern,,Piccadilly,,Victoria,,Circle,,Waterloo & City,,Elizabeth Line,
Station Name,Ground Level outside Station,,Northbound,Southbound,Eastbound,Westbound,Eastbound,Westbound,Eastbound,Westbound,Eastbound,Westbound,Eastbound,Westbound,Northbound,Southbound,Eastbound,Westbound,Northbound,Southbound,Eastbound,Westbound,Northbound,Southbound,Eastbound,Westbound
Acton Town,21,DIS;PIC, , , , ,115.5,115.5, , , , , , , , ,115.5,115.5, , ,,, , ,,
Aldgate ,16,MET;CIR, , , , , , , , , , ,108.8,108.8, , , , , , ,108.8,108.8, , ,,
Aldgate East ,14,H&C;DIS, , , , ,105,105,105,105, , , , , , , , , , ,,, , ,,
Alperton ,33,PIC, , , , , , , , , , , , , , ,139.8,139.8, , ,,, , ,,
Amersham ,145,MET, , , , , , , , , , ,249.3,249.3, , , , , , ,,, , ,,
Angel ,34,NOR, , , , , , , , , , , , ,98.4,98.4, , , , ,,, , ,,
Archway ,56,NOR, , , , , , , , , , , , ,134.9,134.6, , , , ,,, , ,,
Arnos Grove ,43,PIC, , , , , , , , , , , , , , ,137.6,137.6, , ,,, , ,,
Arsenal ,25,PIC, , , , , , , , , , , , , , ,116.8,116.8, , ,,, , ,,
Baker Street ,27,MET;CIR;H&C;BAK;JUB,108.3,105.1, , , , ,118.8,118.9,104.3,107.4,120.5,120.5, , , , , , ,118.8,118.9, , ,,
Balham ,26,NOR, , , , , , , , , , , , ,112.6,112.6, , , , ,,, , ,,
Bank ,14,NOR;CEN;W&C, , ,93.5,93.5, , , , , , , , ,84.4,84.4, , , , ,,,94,94,,
Barbican ,18,MET;CIR;H&C, , , , , , ,109.4,109.4, , ,109.4,109.4, , , , , , ,109.4,109.4, , ,,
Barking ,9,DIS;H&C, , , , ,106.4,106.4,106.4,106.4, , , , , , , , , , ,,, , ,,
Barkingside ,25,CEN, , ,125.5,125.5, , , , , , , , , , , , , , ,,, , ,,
Barons Court ,4.6,DIS;PIC, , , , ,101.9,101.9, , , , , , , , ,102.1,102.3, , ,,, , ,,
Battersea Power Station,7,NOR,,,,,,,,,,,,,86.5,86.5,,,,,,,,,,
Bayswater ,25,DIS;CIR, , , , ,118,118, , , , , , , , , , , , ,118,118, , ,,
Becontree ,11,DIS, , , , ,106.1,106.1, , , , , , , , , , , , ,,, , ,,
Belsize Park ,68,NOR, , , , , , , , , , , , ,132,132.8, , , , ,,, , ,,
Bermondsey ,2,JUB, , , , , , , , ,87.5,87.5, , , , , , , , ,,, , ,,
Bethnal Green ,14,CEN, , ,98,98, , , , , , , , , , , , , , ,,, , ,,
Blackfriars ,8,DIS;CIR, , , , ,100.7,100.7, , , , , , , , , , , , ,100.7,100.7, , ,,
Blackhorse Road ,12,VIC, , , , , , , , , , , , , , , , ,96.5,96.4,,, , ,,
Bond Street ,22,JUB;CEN;EL, , ,101,101, , , , ,91,91, , , , , , , , ,,, , ,72,72
Borough ,4,NOR, , , , , , , , , , , , ,87.9,85.2, , , , ,,, , ,,
Boston Manor ,25,PIC, , , , , , , , , , , , , , ,119.4,119.4, , ,,, , ,,
Bounds Green ,47,PIC, , , , , , , , , , , , , , ,130.8,130.8, , ,,, , ,,
Bow Road ,12,DIS;H&C, , , , ,106.8,106.8,106.8,106.8, , , , , , , , , , ,,, , ,,
Brent Cross ,48,NOR, , , , , , , , , , , , ,151.9,151.9, , , , ,,, , ,,
Brixton ,14,VIC, , , , , , , , , , , , , , , , ,94.8,94.8,,, , ,,
Bromley By Bow ,15,DIS;H&C, , , , ,112.2,112.2,112.2,112.2, , , , , , , , , , ,,, , ,,
Buckhurst Hill ,40,CEN, , ,134.9,134.9, , , , , , , , , , , , , , ,,, , ,,
Burnt Oak ,51,NOR, , , , , , , , , , , , ,147,147, , , , ,,, , ,,
Caledonian Road ,36,PIC, , , , , , , , , , , , , , ,112.9,112.9, , ,,, , ,,
Camden Town City Branch,27,NOR, , , , , , , , , , , , ,111.8,108.4, , , , ,,, , ,,
Camden Town Charing X Branch,27,NOR, , , , , , , , , , , , ,111.8,109.3, , , , ,,, , ,,
